filename,caption
test_1,A red and white bus is driving down the street. There is a large white building behind the bus.  There are trees in front of the building.
test_2,A man is standing on top of a snowboard. He is wearing a black jacket and black pants. There is snow on the ground behind him. 
test_3,There is a bed in a room. The bed is made of wood. There are two pillows on the bed. One is white and the other one is black and has a white bedspread on it. 
test_4,This is an image of a train. The train is red and white. There is a yellow line on the side of the train and a blue line in the middle of it. On the left side there are a lot of trees and bushes.
test_5,A red and white bus is driving down the street. There is a white building behind the bus. 
test_6,There is a wooden bench in the middle of a grassy area. The bench is made of wood. There are trees behind the bench. 
test_7,A man is sitting on a bench. The bench is made out of wood. There is a white wall behind the man. 
test_8,A man is riding his motorcycle down a street. He is wearing a black helmet and black pants. There is a red stop sign on the side of the road. 
test_9,A man is sitting on a bench. The bench is made of wood. There is a black and white picture hanging on the wall behind the man. 
test_10,A wooden bench is sitting on top of a bench. There is a black and white picture hanging on the wall. The bench has a white face and black writing on it. 
test_11,There is a train on the tracks. The train is red and white. There are trees behind the train. 
test_12,A man is standing on a bench. The bench is made of wood. There is a black and white picture hanging on the wall behind the man. 
test_13,A plate of food is sitting on a table. There is a white plate on top of the plate. The plate has a red and white sandwich on it. 
test_14,There are two giraffes in a field. There is a fence behind them. The grass is green and there are trees behind the fence. 
test_15,A man is standing on top of a skateboard. He is wearing a black jacket and black pants. There is a white building behind him. 
test_16,This is an image of a train. The train is red and white. There is a yellow line on the side of the train that is yellow and black and has a blue line next to it. 
test_17,A bathroom with white walls. There is a mirror on the wall above the sink. The sink is white. On the other side of the bathroom there are two white towels on a white towel rack. 
test_18,There is a large body of water in the middle of the ocean. The water is very calm and calm. There are small waves all around the water. 
test_19,A white plate is sitting on top of a white table. There is a silver fork on the table next to the plate. 
test_20,There is a red and white train on the tracks. The train is white and blue. There are trees behind the train. 
test_21,"The image is of a large body of water. The water appears to be calm and calm. There are small waves in the water, but none of them are large enough to cause any serious damage. It is a sunny day and the sky is"
test_22,There is a large airplane in the sky. The plane is white and has a red tail. There are many windows on the plane. 
test_23,A young boy is sitting on a bench. He is wearing a blue shirt and blue shorts. The bench is made of wood. There is a white wall behind the boy. 
test_24,A man is standing on a skateboard. He is wearing a white shirt and blue shorts. There is a black and white fence behind the man. 
test_25,A woman is playing tennis on a tennis court. She is wearing a white tank top and white shorts. There is a green tennis ball in front of her. 
test_26,The image is of a brown horse. The horse is standing on the grass. There is a tree behind the horse with a green leaf on it. 
test_27,A large black and white airplane is flying in the air. The plane is white and has a black tail. There is a large white building behind the plane. 
test_28,A white plate is sitting on top of a white table. There is a silver fork on the table next to the plate. 
