filename,caption
test_1.jpg,"A large modern building with a flat roof and a lot of glass windows is in the background. There is a street in front of the building with a white car, a black car, and a motorcycle parked. There are several people walking on the sidewalk in front of the building. There is a street light in front of the building."
test_2.jpg,A skier in a yellow jacket is jumping over a snowy hill.
test_3.jpg,Bedroom with sliding glass door.
test_4.jpg,A steam locomotive is pulling a passenger car through a train yard.
test_5.jpg,"A yellow and white bus with the number 1224 on the front. The bus is parked in front of a strip mall with a sign that says ""Preferred One"" on the back."
test_6.jpg,A sheep house with sheep grazing in front of it.
test_7.jpg,Man holding white wii remote in his hands.
test_8.jpg,"Two cyclists are riding on a bike lane next to a green fire hydrant. In the background, there are several cars driving on the street."
test_9.jpg,Three cell phones and a knife are on a table.
test_10.jpg,Black top hat on mannequin head next to a clock.
test_11.jpg,A yellow and white train is at a train station.
test_12.jpg,A man is sitting on an elephant in a river.
test_13.jpg,"A plate of food with a fork and a glass of water. The plate has a tomato, broccoli, green beans, and mashed potatoes."
test_14.jpg,A white cow with black horns is standing in a green field.
test_15.jpg,A person is skateboarding down a sidewalk with a dog on a leash.
test_16.jpg,Blue portable toilets are lined up in front of a railroad track. In the background are two trains and some trees.
test_17.jpg,A small bathroom with a frosted glass door.
test_18.jpg,Surfer riding a wave in the ocean.
test_19.jpg,A pizza sits on a pizza stone on top of a stove.
test_20.jpg,A red fire hydrant in front of three closed storage units.
test_21.jpg,A group of six red planes fly across the sky.
test_22.jpg,A large white and blue airplane is landing at an airport. The plane is in the foreground and the airport is in the background. The plane is landing on the runway and the airport is surrounded by a fence.
test_23.jpg,A blonde girl in blue jean shorts and green shirt is surfing on a blue inflatable wave.
test_24.jpg,A man is jumping in the air to catch a frisbee.
test_25.jpg,Tennis player in blue shirt and shorts is hitting a tennis ball with racquet.
test_26.jpg,"A vase of flowers sits on a table outside. The flowers are orange, yellow, and red. There are also some berries and leaves. The background is a wooden fence and a house."
test_27.jpg,"Long, thin kite with red and yellow colors flying in blue sky over sandy beach. Person in wetsuit is walking on beach."
test_28.jpg,"A bowl of food that includes rice, broccoli, and ground beef."
test_29.jpg,"A stop sign is mounted on a post. The top of the sign is a standard stop sign. Below the standard stop sign is a sign that says ""STOP"" in Russian."
test_30.jpg,A tennis player is holding his racket and looks upset.
test_31.jpg,Sailboats are docked in a harbor near a rocky shore.
test_32.jpg,A man is flying a kite in a park.
test_33.jpg,Four sheep are standing on a grassy hilltop overlooking a lake.
test_34.jpg,"A Chevrolet pickup truck is parked in a parking lot. The truck is silver and has a black tonneau cover on the bed. The license plate is from Texas and says ""238N414""."
test_35.jpg,A yellow diamond shaped sign with the word bumps in black letters is in front of a street light. The street light is lit by four large round lights.
test_36.jpg,A close up of a banana peel with the stem of the banana in the foreground. In the background is a red double decker bus and a man walking.
test_37.jpg,People waiting to get on a lift at a ski resort.
test_38.jpg,A white cow is grazing in a field of dry grass.
test_39.jpg,A woman in a blue dress walks along a road in the mountains.
test_40.jpg,A double decker bus is driving down a street.
test_41.jpg,"A sign on a wall that says ""Fish gives you brains, with brains you can make money, money can buy you more fish"" is on the wall."
test_42.jpg,Three men are bathing an elephant in a river.
test_43.jpg,A young man is playing frisbee in the rain.
test_44.jpg,A plane flies above a forest.
test_45.jpg,Skateboarder in mid air.
test_46.jpg,A seagull is flying over a body of water with several boats in the water.
test_47.jpg,A red and white tram is on the street in front of a building.
test_48.jpg,A bus is on the street in front of a building.
test_49.jpg,A boy with a foal walking in a dirt field. The boy is wearing a brown sweater and a blue jacket. The foal is brown and white. The boy is walking in front of the foal. The foal is walking next to the boy. The boy is smiling. The foal is looking at the boy. The boy is happy. The foal is happy. The boy is walking in a dirt field. The boy is walking in front of the foal. The foal is walking next to the boy. The boy is smiling. The foal is looking at the boy. The boy is happy. The foal is happy.
test_50.jpg,"A green sign with the number 710 on it is above a street sign that says ""downtown"" in white letters."
test_51.jpg,A vintage beige pickup truck is parked at a parking meter.
test_52.jpg,Man and dog are running on beach.
test_53.jpg,A round wooden table with several plates of food on it. There are two forks and two knives on the table. One plate has a piece of pie on it. Another plate has a salad on it. There are several bowls of food on the table.
test_54.jpg,A skateboarder is doing a trick in front of a crowd.
test_55.jpg,A variety of donuts and pastries are displayed on a long shelf in a bakery.
test_56.jpg,A sandwich and a bag of potato chips on a plate.
test_57.jpg,A three wheeled motorcycle is parked in a parking lot.
test_58.jpg,A man is riding a wave on a surfboard.
test_59.jpg,A parking meter is in front of a car.
test_60.jpg,Four bears are on a grassy hill.
test_61.jpg,Four blue jets are flying in formation. The jets are leaving white smoke trails behind them.
test_62.jpg,A black and white clock with the word Geneva on it.
