filename,caption
test_1.jpg,A large modern building with a flat roof and large windows is in the background. The building is made of stone and has a modern design. In front of the building is a parking lot with a few cars parked. There are also a few people walking around.
test_2.jpg,A skier is skiing down a slope.
test_3.jpg,A bedroom with a stone floor and a yellow bed.
test_4.jpg,A black and white photo of a steam engine train passing through a station.
test_5.jpg,A yellow and white bus is parked in front of a store called Preterre.
test_6.jpg,A house with a black roof and white walls is in the middle of a field with a few sheep grazing.
test_7.jpg,Man playing wii with wii remote and nintendo controller.
test_8.jpg,Two cyclists riding on a street with a fire hydrant in the foreground.
test_9.jpg,A black phone with a knife and a black phone with a black background.
test_10.jpg,A black top hat sits on a mannequin head next to a clock.
test_11.jpg,A yellow and white train is parked at a station.
test_12.jpg,A man is bathing an elephant in a river.
test_13.jpg,"A plate of food with tomatoes, green beans and potatoes."
test_14.jpg,A white cow with black horns is in the foreground of the image. The background is green and out of focus.
test_15.jpg,A woman is walking a dog down the street on a skateboard.
test_16.jpg,Blue portable toilets are in front of a railroad track with a train in the distance.
test_17.jpg,"A frosted glass door with black square decals shows a bathroom with a toilet, sink, and mirror. The frosted glass door has a black square decal pattern. The bathroom has a white brick wall and a white curtain."
test_18.jpg,Surfer riding wave with black squares in background.
test_19.jpg,A pizza on a white stove with a black background.
test_20.jpg,A red fire hydrant is in the foreground of a storage facility with closed red garage doors. The ground around the fire hydrant is covered in moss and dirt. The ground is wet from the rain.
test_21.jpg,A field of grass with a blue sky and six red jets flying in a line.
test_22.jpg,A large plane is landing at an airport. The plane is white and blue with a red tail. The plane is landing on a runway. The runway is surrounded by a fence. The fence is made of metal. The sky is blue.
test_23.jpg,A young woman in a green shirt and jean shorts rides down a blue inflatable slide.
test_24.jpg,A man is jumping in mid air to grab a green frisbee.
test_25.jpg,Tennis player in blue shirt and shorts is hitting a tennis ball with racquet.
test_26.jpg,A vase of flowers sits on a table.
test_27.jpg,A blue sky with a kite flying in the upper right corner.
test_28.jpg,A bowl of food with broccoli and rice.
test_29.jpg,"A stop sign with a sign on it that says ""stop"" in russian."
test_30.jpg,A tennis player is holding his racquet and looks upset.
