Index,Hypothesis,Reference,Sentence BLEU,ROUGE-L F1,BERTScore F1,METEOR
1,A wooden bench is sitting on a bench. There is a black and white picture hanging on the wall. The bench has a red and black handle.,A large building with bars on the windows in front of it. There is people walking in front of the building. There is a street in front of the building with many cars on it.,0.03632878499909679,0.30769230269559505,0.8771598935127258,0.17074579452747096
2,A black and white bird is standing on top of a large rock wall. The bird has a long black beak and is looking down at the ground. There is a white building behind the bird.,A person is skiing through the snow. There is loose snow all around them from him jumping. The person is wearing a yellow snow suit. The person is holding two ski poles in their hands.,0.01542345413162388,0.22641508934140273,0.8751102089881897,0.1282051282051282
3,There is a white toilet in the middle of the room. There are white shelves on the wall behind the toilet. The wall is made of wood.,There is a bed in a room against a wall. There is a brown blanket on top of the bed. There is a small brown book shelf next to the bed. There is a picture hanging on the wall above the shelf.,0.04276505503639791,0.44999999505,0.9164700508117676,0.1947549127036306
4,A wooden bench is sitting on top of a concrete platform. There is a black and white sign above the bench. The sign is white with black writing on it.,A black and red train is on the tracks and has steam coming out off of it. There is another train next to the first train that is orange. There is an overpass over the train tracks with cars on it.,0.019231562900860134,0.399999995072,0.8842165470123291,0.21041123216203775
5,There is a red and white bus on the street. The bus is white and blue. There are trees behind the bus.,"A white and yellow public transportation bus with ""122"" on front is stopped with it's doors open. There is a gray car on the street beside the bus. Behind the car there is a  building with an ""Urban Outfitters"" on the first floor.",0.028802517932893547,0.3478260825614367,0.8926733732223511,0.2345192355670875
6,A wooden bench is sitting on the ground. There is a black and white clock on top of the bench. The clock is black with white numbers on it.,A large white house with a brown door sits behind some grass. There are four sheep grazing on the grass in front of the house. The house ahs a gray roof.,0.022716052827713506,0.34782608204158794,0.8874112963676453,0.22297949983900395
7,There is a wooden table in the middle of a room. There are two chairs in front of the table. The table is made of wood and the chairs are white.,A man in a red and yellow t-shirt is holding a Wii remote in each of his hands. Behind him there is a fireplace which has been painted white. In front of him a light which is on and illuminating the room.,0.016987485497073455,0.3529411717954633,0.880110502243042,0.24737842977451782
8,A wooden bench is sitting on top of a brick wall. There is a black and white clock on the bench. The clock has a white face and black hands.,There are three men riding bicycles. Two of the men are wearing yellow and the third man has a blue shirt. The two men are way ahead of the third man. The men are bicycling in the bicycle lane. The cars are on the left side of the men.,0.011788717532397568,0.31372548535178785,0.8564096689224243,0.15796178343949044
9,A wooden bench is sitting in a room. There is a wooden table in front of the bench. The bench has a black handle.,TWO CELL PHONES ON THE TABLE.THEY BOTH ARE DARK IN COLOR A ND ARE BLACBERRYS.THERE ARE THREE CUTTING KNIVES.ONE KNIFE IS BETWEEN THE TWO PHONES.THERE IS A THIRD PHONE WITH A KNIFE LYING OVER IT.,0.005003836366665824,0.04347825620983037,0.8327801823616028,0.17225681925780253
10,There is a clock on the wall. The clock is black and white. It has a white face and a black face. There is also a silver face on top of the clock.,"A painted mannequin head sits on a table. It is a feminine head with arched eyebrows a small nose, big eyes and it is wearing a black top hat and a brown wig. To the right of the head is a metal sculpture clock with a white face.",0.019906165109260878,0.3396226370238519,0.8860840201377869,0.23489113275548812
11,There is a red and white bus on the street. The bus is white and blue. There are trees behind the bus.,A white and yellow train is on the tracks. There is a large yellow door on the front of the train. There is a platform next to the train.,0.05026017505660372,0.42424241928374656,0.9164443612098694,0.31393277458166624
12,A black and white photo of a man and a dog. The man is wearing a blue shirt and blue jeans. There is a black dog in front of the man.,A man is sitting on the back of an elephant. They are walking through a very high swamp area. They are being seen from in between the perspective of two logs of a tree.,0.02005764237240809,0.2553191441195111,0.863549530506134,0.1632047477744807
13,There is a wooden table in a room. There are books on top of the table. The table is made of wood and has a white table cloth on it.,There is a black place mat on top of a wood table. There is a white plate on the mat with food on it. There is a fork on the mat next to the plate. There is an orange towel next to the plate.,0.04609398826578576,0.49999999501033066,0.9134941101074219,0.23271114576733762
14,A black and white dog is sitting on a bench. The bench is made of wood. There is a white fence behind the dog.,A goat has its head turned back and it's looking at something. The goat is white but has a black nose and mouth and black ears. The horns of the goat are pointed upwards and has black tops. The goat is standing in green grass.,0.005866067621233556,0.319999995392,0.8810490965843201,0.11655011655011654
15,A wooden bench is sitting on the ground. There is a black and white picture hanging from the wall above the bench. The picture is of a man in a blue shirt and blue shorts.,A woman is walking her dog. She is on a skateboard while she is holding the leash of her dog. She is wearing a gray hoodie and some black shorts.,0.009885362316286799,0.3749999950086806,0.8798742294311523,0.19672131147540983
16,There is a white toilet in the middle of the room. The toilet seat is white and the lid is open. There is also a black and white mirror on the wall.,There are some portable bathrooms sitting near a railroad track. There are some trains sitting on the track. The portable bathrooms are blue with a white roof and the trains are yellow.,0.024281336213143677,0.349999995,0.894933819770813,0.203125
17,There is a wooden table in the middle of a room. There is an umbrella over the top of the table. The table is made of wood and the umbrella is white.,A very white bathroom has a very white sink and toilet. The shower curtain that hangs from the ceiling is also white. There is one wall that is all mirrored. The door is made of glass and the faucet is silver. The floor is made of black tile.,0.030612023257058373,0.3461538415162722,0.8788754940032959,0.21365290538121945
