Index,Hypothesis,Reference,Sentence BLEU,ROUGE-L F1,BERTScore F1,METEOR
1,A large modern building with a glass front is in the background. There are several cars parked in front of the building. There are a few people walking in front of the building.,A large building with bars on the windows in front of it. There is people walking in front of the building. There is a street in front of the building with many cars on it.,0.32075983801307556,0.6341463364663892,0.935434103012085,0.569253416769876
2,A skier is jumping off a snowy mountain.,A person is skiing through the snow. There is loose snow all around them from him jumping. The person is wearing a yellow snow suit. The person is holding two ski poles in their hands.,4.87834222988922e-233,0.228571425044898,0.8806066513061523,0.04643962848297213
3,A bedroom with a large window and a door.,There is a bed in a room against a wall. There is a brown blanket on top of the bed. There is a small brown book shelf next to the bed. There is a picture hanging on the wall above the shelf.,3.1973641030081883e-233,0.06666666275555579,0.8656917810440063,0.03875968992248062
4,A train is on a track next to a bus.,A black and red train is on the tracks and has steam coming out off of it. There is another train next to the first train that is orange. There is an overpass over the train tracks with cars on it.,2.187803013109268e-79,0.324324320642805,0.8968656063079834,0.12654138172419363
5,A bus is parked in front of a store.,"A white and yellow public transportation bus with ""122"" on front is stopped with it's doors open. There is a gray car on the street beside the bus. Behind the car there is a  building with an ""Urban Outfitters"" on the first floor.",3.597676874111012e-233,0.19999999651250003,0.872591495513916,0.06313131313131314
6,A sheep is grazing in the front yard of a house.,A large white house with a brown door sits behind some grass. There are four sheep grazing on the grass in front of the house. The house ahs a gray roof.,2.8125124195847212e-232,0.43243242825420025,0.8943801522254944,0.15517241379310345
7,A woman is taking a selfie in front of a black and white QR code.,A man in a red and yellow t-shirt is holding a Wii remote in each of his hands. Behind him there is a fireplace which has been painted white. In front of him a light which is on and illuminating the room.,1.0893308957958588e-155,0.34782608272211724,0.8716827630996704,0.17513272390286805
8,A cyclist rides down a busy street with cars parked on either side.,There are three men riding bicycles. Two of the men are wearing yellow and the third man has a blue shirt. The two men are way ahead of the third man. The men are bicycling in the bicycle lane. The cars are on the left side of the men.,7.918467835402112e-233,0.1860465074094106,0.8610488772392273,0.055066079295154176
9,A close up of a cell phone and a wallet.,TWO CELL PHONES ON THE TABLE.THEY BOTH ARE DARK IN COLOR A ND ARE BLACBERRYS.THERE ARE THREE CUTTING KNIVES.ONE KNIFE IS BETWEEN THE TWO PHONES.THERE IS A THIRD PHONE WITH A KNIFE LYING OVER IT.,8.409537640843914e-233,0.05263157533241022,0.8179892897605896,0.07692307692307691
10,A woman's face is obscured by a pixelated pattern.,"A painted mannequin head sits on a table. It is a feminine head with arched eyebrows a small nose, big eyes and it is wearing a black top hat and a brown wig. To the right of the head is a metal sculpture clock with a white face.",1.8167085284303287e-233,0.13636363310950422,0.8550201058387756,0.034013605442176874
11,A yellow and black train is on the tracks.,A white and yellow train is on the tracks. There is a large yellow door on the front of the train. There is a platform next to the train.,0.05439775939610162,0.5185185140740741,0.9269450902938843,0.14814814814814817
12,A man is riding an elephant in a river.,A man is sitting on the back of an elephant. They are walking through a very high swamp area. They are being seen from in between the perspective of two logs of a tree.,2.982979195384739e-79,0.37837837469685914,0.9042487144470215,0.18172983479105922
13,A plate of food with a fork and knife in front of it.,There is a black place mat on top of a wood table. There is a white plate on the mat with food on it. There is a fork on the mat next to the plate. There is an orange towel next to the plate.,6.324704990926903e-156,0.34285713835102044,0.8818572163581848,0.1300809902200489
14,A dog with its ears perked up is in the center of the image.,A goat has its head turned back and it's looking at something. The goat is white but has a black nose and mouth and black ears. The horns of the goat are pointed upwards and has black tops. The goat is standing in green grass.,6.942887277283473e-156,0.3111111070024692,0.8667652010917664,0.09546539379474941
15,A street scene with a person walking down the sidewalk.,A woman is walking her dog. She is on a skateboard while she is holding the leash of her dog. She is wearing a gray hoodie and some black shorts.,1.960804782828765e-232,0.2424242382001837,0.8677576184272766,0.07142857142857142
16,A large yellow bulldozer sits behind a row of blue portable toilets.,There are some portable bathrooms sitting near a railroad track. There are some trains sitting on the track. The portable bathrooms are blue with a white roof and the trains are yellow.,2.4331517136481353e-232,0.12499999531250018,0.8960130214691162,0.08333333333333334
17,A bathroom with two sinks and a shower curtain.,A very white bathroom has a very white sink and toilet. The shower curtain that hangs from the ceiling is also white. There is one wall that is all mirrored. The door is made of glass and the faucet is silver. The floor is made of black tile.,2.064179413229148e-233,0.2380952347278912,0.8904275298118591,0.06802721088435375
18,A man surfing on a wave.,A man is in a black wetsuit. The man is riding a white surfboard. There is a large wave in the water the man is surfing on.,2.7219253680682215e-156,0.41666666291666676,0.9010815024375916,0.08032128514056225
19,A close up of a pizza with a black background.,A pizza is on a brown wooden tray. The tray is placed on the stove top. The pizza has melted cheese and spinach on top of it. The stove is white with black burners.,1.4545859206175798e-232,0.3636363596694215,0.8636063933372498,0.09493670886075947
20,A red fire hydrant sits in front of a white and red storage unit.,a flood is occuring. there is a lot of water on the road. the hydrant on the sidewalk is red. the garage doors are red in color . there are some pieces of grass growing.,3.142513071705181e-232,0.27777777316358027,0.8803899884223938,0.0911854103343465
21,A field of green grass with a blue sky and four red airplanes flying in the distance.,there are four airplanes in the sky. There is a small hill under them. There is a field of grass under the airplanes. There are smoke trails coming out from behind the airplanes.,2.8662379220857965e-155,0.3999999951125,0.8900325298309326,0.18597153416686327
22,A plane is taking off in front of a fence.,There is a large white airplane that is in the sky. There is a silver fence under the airplane. There are light poles on both sides of a fence under the plane.,7.588898180699358e-156,0.32258064079084287,0.8901769518852234,0.12483221476510067
23,A woman is on a blue inflatable slide.,"A young lady is having a very fun time by herself. This young lady has on very short jean shorts, a turquoise top and some shades on. She is surfing a fake wave on a plastic board and having so much fun.",1.0999898016513077e-156,0.210526312465374,0.8753968477249146,0.0817681347150259
24,"The image shows a scene of a grassy field with a few people in it. The foreground is dominated by a person in a green shirt and black shorts, who is in a squatting position. The person is wearing a green shirt and black shorts, and their legs are spread wide apart. Their arms are bent at the elbows, and their hands are resting on their knees. The person's face is not visible, but their body is well-defined and muscular.

In the background, there are several other people in the scene. There are two people standing, one of whom is wearing a red shirt and the other is wearing a blue shirt. The person in the red shirt is standing to the left of the person in the green shirt, and the person in the blue shirt is standing to the right. The people in the background are not as clearly visible as the person in the foreground, but they appear to be engaged in some activity.

The background of the image is a grassy",A man is jumping in the air. The man is holding a green frisbee in his hand. There are trees behind the man.,2.7064741064219496e-155,0.16494845058560956,0.8486210107803345,0.1931537230948226
25,A tennis player is throwing a tennis ball.,A tennis player has just forehand swung to hit a ball. The player has on a light blue shirt and headband. He has on brown nike shorts and white shoes.,3.2429590392102515e-79,0.3225806416649324,0.878210186958313,0.08992805755395683
26,"A vase of fake flowers with red, orange and yellow flowers.","There is a vase on a table.  The vase has a white enamel base and three flower holders.  In the vase is an assortment of artificial fall colored leaves and berries.  The colors depicted are different shades of orange.  The table appears to be in the backyard of a house.  Behind the vase is a picket fence, a sidewalk, some monkey grass, and some pink flowers.  On the other side of the fence the eaves of the neighboring house are seen.",2.4377153527969402e-234,0.15873015605946086,0.854350209236145,0.040540540540540536
27,A beach scene with a kite flying in the sky.,A person is standing on the beach. They are flying a large yellow and red kite. There are small waves in the water. The person is wearing a black wet suit.,8.868204052464446e-156,0.33333332932098775,0.8868770599365234,0.08650519031141868
28,A plate of food with broccoli on it.,A white plate of food. There is rice under a pile of broccoli. There are onions cut up on top of the broccoli.,1.1826004862102723e-155,0.37037036620027436,0.9208577275276184,0.09302325581395349
