Index,Hypothesis,Reference,Sentence BLEU,ROUGE-L F1,BERTScore F1,METEOR
1,A large modern building with a flat roof and large windows is in the background. The building is made of stone and has a modern design. In front of the building is a parking lot with a few cars parked. There are also a few people walking around.,A large building with bars on the windows in front of it. There is people walking in front of the building. There is a street in front of the building with many cars on it.,0.08799584126903778,0.5660377311498754,0.9158322811126709,0.4662420599685814
2,A skier is skiing down a slope.,A person is skiing through the snow. There is loose snow all around them from him jumping. The person is wearing a yellow snow suit. The person is holding two ski poles in their hands.,1.517738543489217e-156,0.23529411437716266,0.8864260911941528,0.06211180124223602
3,A bedroom with a stone floor and a yellow bed.,There is a bed in a room against a wall. There is a brown blanket on top of the bed. There is a small brown book shelf next to the bed. There is a picture hanging on the wall above the shelf.,5.495994572225064e-233,0.12903225394380866,0.8710125088691711,0.05154639175257732
4,A black and white photo of a steam engine train passing through a station.,A black and red train is on the tracks and has steam coming out off of it. There is another train next to the first train that is orange. There is an overpass over the train tracks with cars on it.,4.833373219926534e-79,0.24390243469363482,0.8568845987319946,0.0783289817232376
5,A yellow and white bus is parked in front of a store called Preterre.,"A white and yellow public transportation bus with ""122"" on front is stopped with it's doors open. There is a gray car on the street beside the bus. Behind the car there is a  building with an ""Urban Outfitters"" on the first floor.",1.9959001608181457e-232,0.22222221793580252,0.8739711046218872,0.09975062344139651
6,A house with a black roof and white walls is in the middle of a field with a few sheep grazing.,A large white house with a brown door sits behind some grass. There are four sheep grazing on the grass in front of the house. The house ahs a gray roof.,1.6974069958538775e-78,0.3181818133471075,0.9197585582733154,0.16666666666666666
7,Man playing wii with wii remote and nintendo controller.,A man in a red and yellow t-shirt is holding a Wii remote in each of his hands. Behind him there is a fireplace which has been painted white. In front of him a light which is on and illuminating the room.,3.1973641030081883e-233,0.0999999968000001,0.8444691896438599,0.08155684754521964
8,Two cyclists riding on a street with a fire hydrant in the foreground.,There are three men riding bicycles. Two of the men are wearing yellow and the third man has a blue shirt. The two men are way ahead of the third man. The men are bicycling in the bicycle lane. The cars are on the left side of the men.,4.142545016313176e-156,0.2857142816326531,0.8543365001678467,0.06607929515418502
9,A black phone with a knife and a black phone with a black background.,TWO CELL PHONES ON THE TABLE.THEY BOTH ARE DARK IN COLOR A ND ARE BLACBERRYS.THERE ARE THREE CUTTING KNIVES.ONE KNIFE IS BETWEEN THE TWO PHONES.THERE IS A THIRD PHONE WITH A KNIFE LYING OVER IT.,2.101525149964671e-232,0.05405405066471898,0.8367652297019958,0.19186930091185414
10,A black top hat sits on a mannequin head next to a clock.,"A painted mannequin head sits on a table. It is a feminine head with arched eyebrows a small nose, big eyes and it is wearing a black top hat and a brown wig. To the right of the head is a metal sculpture clock with a white face.",4.063987959868221e-79,0.3829787196016297,0.8972020149230957,0.19964713529575628
11,A yellow and white train is parked at a station.,A white and yellow train is on the tracks. There is a large yellow door on the front of the train. There is a platform next to the train.,1.1782205215018183e-155,0.35714285255102046,0.9147174954414368,0.12915129151291513
12,A man is bathing an elephant in a river.,A man is sitting on the back of an elephant. They are walking through a very high swamp area. They are being seen from in between the perspective of two logs of a tree.,2.982979195384739e-79,0.37837837469685914,0.8902888298034668,0.13536155202821867
13,"A plate of food with tomatoes, green beans and potatoes.",There is a black place mat on top of a wood table. There is a white plate on the mat with food on it. There is a fork on the mat next to the plate. There is an orange towel next to the plate.,4.835285063277543e-233,0.18181817759412314,0.8474000692367554,0.06157635467980296
14,A white cow with black horns is in the foreground of the image. The background is green and out of focus.,A goat has its head turned back and it's looking at something. The goat is white but has a black nose and mouth and black ears. The horns of the goat are pointed upwards and has black tops. The goat is standing in green grass.,1.9557739348740683e-155,0.4399999953920001,0.8848091959953308,0.15258215962441313
15,A woman is walking a dog down the street on a skateboard.,A woman is walking her dog. She is on a skateboard while she is holding the leash of her dog. She is wearing a gray hoodie and some black shorts.,0.060450397431771566,0.47058823091695506,0.9162974953651428,0.18866356382978725
